Year,Month,Core,Water vol.,Dependent Variable,Temperature,d13C-CO2,d13C-CH4,TN,TOC,TC,CN,Corg,BD 10cm,WC 10cm,BD 3cm,WC 3cm,Soil volume,Salinity
2022,9,2,0,-137.3501048,34.8,-10.561,-48.37,0.074809477,0.747422636,6.593989849,11.65108278,2.683,1.36,36.58,1.2,34.84,832.75,22.38
2022,9,3,0,2227.710852,34.8,-11.449,-47.384,0.066613153,0.635964572,6.522531033,11.13344562,2.015,1.4,28.61,1.06,40.06,693.96,25.47
2022,9,4,0,1614.593499,34.8,-11.688,-48.879,0.048798714,0.417550325,5.187992096,9.97831268,1.531,1.36,45.97,1.22,31.15,652.32,29.08
2022,10,1,0,1357.692426,32.7,-11.404,-44.636,0.06023147,0.520590305,7.08341074,10.07927451,1.767,1.46,26.08,1.13,31.8,825.81,31.69
2022,10,2,0,1615.143575,32.7,-11.092,-46.078,0.048353374,0.43419987,6.401971817,10.47175723,2.183,1.66,20.23,1.68,25.72,763.35,25.24
2022,10,3,0,7924.021338,32.7,-13.426,-45.982,0.081647001,0.729141235,5.840824127,10.414252,2.595,1.27,40.21,1.19,38.55,638.44,41.03
2022,10,4,0,3965.117627,32.7,-12.071,-46.713,0.051491626,0.415252268,5.688637257,9.404421093,1.509,1.41,34.46,1.21,30.8,756.41,33.86
2022,11,1,167,81.29637483,26.8,-10.101,-47.238,0.092090532,0.824247658,6.66339016,10.43756997,2.273,1.29,35.02,0.92,54.75,818.87,9.369
2022,11,2,510,-219.2541277,26.8,-10.862,-47.619,0.067015946,0.587499857,6.795531273,10.22318624,1.99,1.42,31.26,1.13,41.69,881.33,7.099
2022,11,3,97,-51.52955933,26.8,-12.208,-47.694,0.091631658,0.840296805,8.671325684,10.69408982,2.177,1.22,38.31,0.86,57.95,603.74,9.951
2022,11,4,534,-199.9769307,26.8,-12.668,-48.694,0.039987057,0.294495136,5.96,8.588460931,1.045,1.38,30.61,1.18,37.23,777.23,6.44
2022,12,1,642,59.02897719,28.1,-10.626,-48.956,0.070612445,0.614049911,7.21578455,10.14096032,1.558,1.1,40.15,0.85,59.51,707.84,9.828
2022,12,2,425,-61.00822859,28.1,-11.337,-48.15,0.043046337,0.304900616,7.343945503,8.259975523,1.055,1.17,44.99,1.15,40.02,784.17,6.596
